"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","MEN","YR","A","2014",80.3,
"AUS","LIFEEXP","MEN","YR","A","2015",80.4,
"AUS","LIFEEXP","MEN","YR","A","2016",80.4,
"AUS","LIFEEXP","MEN","YR","A","2017",80.5,
"AUS","LIFEEXP","TOT","YR","A","2014",82.4,
"AUS","LIFEEXP","TOT","YR","A","2015",82.5,
"AUS","LIFEEXP","TOT","YR","A","2016",82.5,
"AUS","LIFEEXP","TOT","YR","A","2017",82.6,
"AUS","LIFEEXP","WOMEN","YR","A","2014",84.4,
"AUS","LIFEEXP","WOMEN","YR","A","2015",84.5,
"AUS","LIFEEXP","WOMEN","YR","A","2016",84.6,
"AUS","LIFEEXP","WOMEN","YR","A","2017",84.6,
"AUT","LIFEEXP","MEN","YR","A","2014",79.1,
"AUT","LIFEEXP","MEN","YR","A","2015",78.8,
"AUT","LIFEEXP","MEN","YR","A","2016",79.3,
"AUT","LIFEEXP","MEN","YR","A","2017",79.4,
"AUT","LIFEEXP","TOT","YR","A","2014",81.6,
"AUT","LIFEEXP","TOT","YR","A","2015",81.3,
"AUT","LIFEEXP","TOT","YR","A","2016",81.7,
"AUT","LIFEEXP","TOT","YR","A","2017",81.7,
"AUT","LIFEEXP","WOMEN","YR","A","2014",84,
"AUT","LIFEEXP","WOMEN","YR","A","2015",83.7,
"AUT","LIFEEXP","WOMEN","YR","A","2016",84.1,
"AUT","LIFEEXP","WOMEN","YR","A","2017",84,
"BEL","LIFEEXP","MEN","YR","A","2014",78.8,
"BEL","LIFEEXP","MEN","YR","A","2015",78.7,
"BEL","LIFEEXP","MEN","YR","A","2016",79,
"BEL","LIFEEXP","MEN","YR","A","2017",79.2,
"BEL","LIFEEXP","TOT","YR","A","2014",81.4,
"BEL","LIFEEXP","TOT","YR","A","2015",81.1,
"BEL","LIFEEXP","TOT","YR","A","2016",81.5,
"BEL","LIFEEXP","TOT","YR","A","2017",81.6,
"BEL","LIFEEXP","WOMEN","YR","A","2014",83.9,
"BEL","LIFEEXP","WOMEN","YR","A","2015",83.4,
"BEL","LIFEEXP","WOMEN","YR","A","2016",84,
"BEL","LIFEEXP","WOMEN","YR","A","2017",83.9,
"CAN","LIFEEXP","MEN","YR","A","2014",79.7,
"CAN","LIFEEXP","MEN","YR","A","2015",79.8,
"CAN","LIFEEXP","MEN","YR","A","2016",79.9,
"CAN","LIFEEXP","MEN","YR","A","2017",79.9,
"CAN","LIFEEXP","TOT","YR","A","2014",81.8,
"CAN","LIFEEXP","TOT","YR","A","2015",81.9,
"CAN","LIFEEXP","TOT","YR","A","2016",82,
"CAN","LIFEEXP","TOT","YR","A","2017",82,
"CAN","LIFEEXP","WOMEN","YR","A","2014",83.9,
"CAN","LIFEEXP","WOMEN","YR","A","2015",83.9,
"CAN","LIFEEXP","WOMEN","YR","A","2016",84,
"CAN","LIFEEXP","WOMEN","YR","A","2017",84,
"CZE","LIFEEXP","MEN","YR","A","2014",75.8,
"CZE","LIFEEXP","MEN","YR","A","2015",75.7,
"CZE","LIFEEXP","MEN","YR","A","2016",76.1,
"CZE","LIFEEXP","MEN","YR","A","2017",76.1,
"CZE","LIFEEXP","TOT","YR","A","2014",78.9,
"CZE","LIFEEXP","TOT","YR","A","2015",78.7,
"CZE","LIFEEXP","TOT","YR","A","2016",79.1,
"CZE","LIFEEXP","TOT","YR","A","2017",79.1,
"CZE","LIFEEXP","WOMEN","YR","A","2014",82,
"CZE","LIFEEXP","WOMEN","YR","A","2015",81.6,
"CZE","LIFEEXP","WOMEN","YR","A","2016",82.1,
"CZE","LIFEEXP","WOMEN","YR","A","2017",82,
"DNK","LIFEEXP","MEN","YR","A","2014",78.7,
"DNK","LIFEEXP","MEN","YR","A","2015",78.8,
"DNK","LIFEEXP","MEN","YR","A","2016",79,
"DNK","LIFEEXP","MEN","YR","A","2017",79.2,
"DNK","LIFEEXP","TOT","YR","A","2014",80.8,
"DNK","LIFEEXP","TOT","YR","A","2015",80.8,
"DNK","LIFEEXP","TOT","YR","A","2016",80.9,
"DNK","LIFEEXP","TOT","YR","A","2017",81.2,
"DNK","LIFEEXP","WOMEN","YR","A","2014",82.8,
"DNK","LIFEEXP","WOMEN","YR","A","2015",82.7,
"DNK","LIFEEXP","WOMEN","YR","A","2016",82.8,
"DNK","LIFEEXP","WOMEN","YR","A","2017",83.1,
"FIN","LIFEEXP","MEN","YR","A","2014",78.4,
"FIN","LIFEEXP","MEN","YR","A","2015",78.7,
"FIN","LIFEEXP","MEN","YR","A","2016",78.6,
"FIN","LIFEEXP","MEN","YR","A","2017",78.9,
"FIN","LIFEEXP","TOT","YR","A","2014",81.3,
"FIN","LIFEEXP","TOT","YR","A","2015",81.6,
"FIN","LIFEEXP","TOT","YR","A","2016",81.5,
"FIN","LIFEEXP","TOT","YR","A","2017",81.7,
"FIN","LIFEEXP","WOMEN","YR","A","2014",84.1,
"FIN","LIFEEXP","WOMEN","YR","A","2015",84.4,
"FIN","LIFEEXP","WOMEN","YR","A","2016",84.4,
"FIN","LIFEEXP","WOMEN","YR","A","2017",84.5,
"FRA","LIFEEXP","MEN","YR","A","2014",79.5,
"FRA","LIFEEXP","MEN","YR","A","2015",79.2,
"FRA","LIFEEXP","MEN","YR","A","2016",79.5,
"FRA","LIFEEXP","MEN","YR","A","2017",79.6,
"FRA","LIFEEXP","TOT","YR","A","2014",82.8,
"FRA","LIFEEXP","TOT","YR","A","2015",82.4,
"FRA","LIFEEXP","TOT","YR","A","2016",82.6,
"FRA","LIFEEXP","TOT","YR","A","2017",82.6,
"FRA","LIFEEXP","WOMEN","YR","A","2014",86.1,
"FRA","LIFEEXP","WOMEN","YR","A","2015",85.6,
"FRA","LIFEEXP","WOMEN","YR","A","2016",85.7,
"FRA","LIFEEXP","WOMEN","YR","A","2017",85.6,
"DEU","LIFEEXP","MEN","YR","A","2014",78.7,
"DEU","LIFEEXP","MEN","YR","A","2015",78.3,
"DEU","LIFEEXP","MEN","YR","A","2016",78.6,
"DEU","LIFEEXP","MEN","YR","A","2017",78.7,
"DEU","LIFEEXP","TOT","YR","A","2014",81.2,
"DEU","LIFEEXP","TOT","YR","A","2015",80.7,
"DEU","LIFEEXP","TOT","YR","A","2016",81.1,
"DEU","LIFEEXP","TOT","YR","A","2017",81.1,
"DEU","LIFEEXP","WOMEN","YR","A","2014",83.6,
"DEU","LIFEEXP","WOMEN","YR","A","2015",83.1,
"DEU","LIFEEXP","WOMEN","YR","A","2016",83.5,
"DEU","LIFEEXP","WOMEN","YR","A","2017",83.4,
"GRC","LIFEEXP","MEN","YR","A","2014",78.8,
"GRC","LIFEEXP","MEN","YR","A","2015",78.5,
"GRC","LIFEEXP","MEN","YR","A","2016",78.9,
"GRC","LIFEEXP","MEN","YR","A","2017",78.8,
"GRC","LIFEEXP","TOT","YR","A","2014",81.5,
"GRC","LIFEEXP","TOT","YR","A","2015",81.1,
"GRC","LIFEEXP","TOT","YR","A","2016",81.5,
"GRC","LIFEEXP","TOT","YR","A","2017",81.4,
"GRC","LIFEEXP","WOMEN","YR","A","2014",84.1,
"GRC","LIFEEXP","WOMEN","YR","A","2015",83.7,
"GRC","LIFEEXP","WOMEN","YR","A","2016",84,
"GRC","LIFEEXP","WOMEN","YR","A","2017",83.9,
"HUN","LIFEEXP","MEN","YR","A","2014",72.3,
"HUN","LIFEEXP","MEN","YR","A","2015",72.3,
"HUN","LIFEEXP","MEN","YR","A","2016",72.6,
"HUN","LIFEEXP","MEN","YR","A","2017",72.5,
"HUN","LIFEEXP","TOT","YR","A","2014",75.9,
"HUN","LIFEEXP","TOT","YR","A","2015",75.7,
"HUN","LIFEEXP","TOT","YR","A","2016",76.2,
"HUN","LIFEEXP","TOT","YR","A","2017",75.9,
"HUN","LIFEEXP","WOMEN","YR","A","2014",79.4,
"HUN","LIFEEXP","WOMEN","YR","A","2015",79,
"HUN","LIFEEXP","WOMEN","YR","A","2016",79.7,
"HUN","LIFEEXP","WOMEN","YR","A","2017",79.3,
"ISL","LIFEEXP","MEN","YR","A","2014",81.3,
"ISL","LIFEEXP","MEN","YR","A","2015",81.2,
"ISL","LIFEEXP","MEN","YR","A","2016",80.4,
"ISL","LIFEEXP","MEN","YR","A","2017",81.1,
"ISL","LIFEEXP","TOT","YR","A","2014",82.9,
"ISL","LIFEEXP","TOT","YR","A","2015",82.5,
"ISL","LIFEEXP","TOT","YR","A","2016",82.3,
"ISL","LIFEEXP","TOT","YR","A","2017",82.7,
"ISL","LIFEEXP","WOMEN","YR","A","2014",84.5,
"ISL","LIFEEXP","WOMEN","YR","A","2015",83.8,
"ISL","LIFEEXP","WOMEN","YR","A","2016",84.1,
"ISL","LIFEEXP","WOMEN","YR","A","2017",84.3,
"IRL","LIFEEXP","MEN","YR","A","2014",79.3,
"IRL","LIFEEXP","MEN","YR","A","2015",79.6,
"IRL","LIFEEXP","MEN","YR","A","2016",79.9,
"IRL","LIFEEXP","MEN","YR","A","2017",80.4,
"IRL","LIFEEXP","TOT","YR","A","2014",81.4,
"IRL","LIFEEXP","TOT","YR","A","2015",81.5,
"IRL","LIFEEXP","TOT","YR","A","2016",81.8,
"IRL","LIFEEXP","TOT","YR","A","2017",82.2,
